smiles,mol_id,NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53
O=P(O)(C(P(O)(O)=O)(O)C)O,TOX3028,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
CC(C)(C)OOC(C)(C)CCC(C)(C)OOC(C)(C)C,TOX5110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
CC(OOC(CCC(C)(OOC(C)(C)C)C)(C)C)(C)C,TOX5110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
C(CC(C)(OOC(C)(C)C)C)C(C)(OOC(C)(C)C)C,TOX5110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
CC(C)(OOC(C)(CCC(C)(OOC(C)(C)C)C)C)C,TOX5110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
O=S(=O)(Cl)c1ccccc1,TOX6619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c1cc(S(Cl)(=O)=O)ccc1,TOX6619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c1ccc(cc1)S(Cl)(=O)=O,TOX6619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O=S(=O)(Cl)c1ccccc1,TOX6619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OC[C@H](O)[C@@H](O)[C@H](O)CO,TOX22514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
O[C@@H]([C@H](O)CO)[C@@H](O)CO,TOX22514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
OC[C@H](O)[C@@H](O)[C@@H](CO)O,TOX22514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
C(O)[C@@H]([C@@H](O)[C@H](O)CO)O,TOX22514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
CCCCCCCC(=O)[O-].CCCCCCCC(=O)[O-].[Zn+2],TOX22517,,,,,,,,0.0,,0.0,,
C(C)CCCCCC(=O)[O-].C(CCC(=O)[O-])CCCC.[Zn+2],TOX22517,,,,,,,,0.0,,0.0,,
C(C)CCCCCC(=O)[O-].C(CCCC(=O)[O-])CCC.[Zn+2],TOX22517,,,,,,,,0.0,,0.0,,
C(CCCCC([O-])=O)CC.C(CCCCCC)C([O-])=O.[Zn+2],TOX22517,,,,,,,,0.0,,0.0,,
NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,TOX25236,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0
[C@H]1([n+]2cccc(C(N)=O)c2)[C@H](O)[C@H](O)[C@H](O1)COP([O-])(=O)OP(=O)(OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1c2c(c(ncn2)N)nc1)O,TOX25236,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0
c1(ccc[n+]([C@H]2[C@@H]([C@@H]([C@@H](COP(=O)([O-])OP(O)(OC[C@@H]3[C@@H](O)[C@H]([C@H](n4c5c(nc4)c(N)ncn5)O3)O)=O)O2)O)O)c1)C(N)=O,TOX25236,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0
O1[C@H]([C@H](O)[C@H](O)[C@H]1COP(OP(=O)(OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1cnc2c1ncnc2N)O)(=O)[O-])[n+]1cc(C(N)=O)ccc1,TOX25236,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0
O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1I,TOX25238,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O1[C@@H](n2c([nH]c(=O)c(I)c2)=O)C[C@H](O)[C@H]1CO,TOX25238,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O1[C@H](C[C@H](O)[C@H]1CO)n1c([nH]c(=O)c(I)c1)=O,TOX25238,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[nH]1c(n(cc(I)c1=O)[C@H]1C[C@H](O)[C@H](O1)CO)=O,TOX25238,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(C)COC(=O)C(C)C,TOX6612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C(C)(C)COC(C(C)C)=O,TOX6612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(COC(C(C)C)=O)C,TOX6612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C(C(C)C)OC(C(C)C)=O,TOX6612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C=C(C)C(=O)OCCOC(=O)C(=C)C,TOX6615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C(C(=O)OCCOC(C(=C)C)=O)(=C)C,TOX6615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O(C(C(C)=C)=O)CCOC(=O)C(C)=C,TOX6615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C(OCCOC(=O)C(=C)C)(=O)C(=C)C,TOX6615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cl/C=C\C[N+]12CN3CN(CN(C3)C1)C2,TOX15748,0.0,0.0,0.0,,0.0,0.0,,1.0,0.0,0.0,0.0,
C(\Cl)=C\C[N+]12CN3CN(CN(C2)C3)C1,TOX15748,0.0,0.0,0.0,,0.0,0.0,,1.0,0.0,0.0,0.0,
N12C[N+]3(C/C=C\Cl)CN(CN(C3)C1)C2,TOX15748,0.0,0.0,0.0,,0.0,0.0,,1.0,0.0,0.0,0.0,
N12C[N+]3(C/C=C\Cl)CN(C2)CN(C3)C1,TOX15748,0.0,0.0,0.0,,0.0,0.0,,1.0,0.0,0.0,0.0,
COc1cc(O)cc(O)c1,TOX26525,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0
c1(O)cc(cc(OC)c1)O,TOX26525,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0
c1c(O)cc(cc1O)OC,TOX26525,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0
c1c(OC)cc(cc1O)O,TOX26525,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0
CCOC(=O)c1cccnc1,TOX26526,,,,,,,,0.0,,0.0,,
c1ncccc1C(OCC)=O,TOX26526,,,,,,,,0.0,,0.0,,
O(C(=O)c1cccnc1)CC,TOX26526,,,,,,,,0.0,,0.0,,
CCOC(c1cnccc1)=O,TOX26526,,,,,,,,0.0,,0.0,,
CCOc1ccc(S(=O)(=O)O)c2cccnc12,TOX26521,0.0,0.0,,0.0,1.0,1.0,0.0,,0.0,,0.0,0.0
c12cccnc1c(OCC)ccc2S(=O)(O)=O,TOX26521,0.0,0.0,,0.0,1.0,1.0,0.0,,0.0,,0.0,0.0
c12c(c(OCC)ccc2S(O)(=O)=O)nccc1,TOX26521,0.0,0.0,,0.0,1.0,1.0,0.0,,0.0,,0.0,0.0
c1ccnc2c(OCC)ccc(c12)S(O)(=O)=O,TOX26521,0.0,0.0,,0.0,1.0,1.0,0.0,,0.0,,0.0,0.0
O=C(O)[C@H](O)c1ccccc1,TOX26523,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c1(ccccc1)[C@@H](O)C(=O)O,TOX26523,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c1cc(ccc1)[C@H](C(O)=O)O,TOX26523,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C(O)([C@@H](c1ccccc1)O)=O,TOX26523,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nc1ccc(/N=N/c2ccccc2)cc1,TOX4460,0.0,0.0,1.0,,1.0,0.0,,1.0,1.0,0.0,,0.0
c1(/N=N/c2ccc(cc2)N)ccccc1,TOX4460,0.0,0.0,1.0,,1.0,0.0,,1.0,1.0,0.0,,0.0
c1cc(ccc1/N=N/c1ccccc1)N,TOX4460,0.0,0.0,1.0,,1.0,0.0,,1.0,1.0,0.0,,0.0
N(\c1ccccc1)=N/c1ccc(N)cc1,TOX4460,0.0,0.0,1.0,,1.0,0.0,,1.0,1.0,0.0,,0.0
Nc1ccccc1S(=O)(=O)O,TOX4463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
c1cc(c(cc1)S(=O)(=O)O)N,TOX4463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
c1cccc(N)c1S(O)(=O)=O,TOX4463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
c1(N)c(S(=O)(O)=O)cccc1,TOX4463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
CC(O)CC(C)(C)O,TOX1885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OC(CC(O)C)(C)C,TOX1885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C(O)(CC(C)(O)C)C,TOX1885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C(O)(CC(C)(C)O)C,TOX1885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(C)(C)CC(C)(C)N,TOX1886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(CC(C)(C)C)(C)N,TOX1886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C(N)(C)(C)CC(C)(C)C,TOX1886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC(C)(C)CC(C)(C)C,TOX1886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(=O)CC(C)C,TOX1889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O=C(C)CC(C)C,TOX1889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(CC(=O)C)C,TOX1889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O=C(C)CC(C)C,TOX1889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nc1nc2ccccc2[nH]1,TOX4465,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[nH]1c2ccccc2nc1N,TOX4465,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c12c(cccc1)[nH]c(N)n2,TOX4465,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c1c2c(ccc1)nc([nH]2)N,TOX4465,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CNC(=O)Nc1ccc(Cl)c(Cl)c1,TOX22180,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0
N(c1ccc(Cl)c(c1)Cl)C(=O)NC,TOX22180,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0
O=C(Nc1cc(Cl)c(Cl)cc1)NC,TOX22180,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0
C(Nc1ccc(c(Cl)c1)Cl)(=O)NC,TOX22180,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0
CC(=O)Nc1ccc(C)c(Cl)c1,TOX22181,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0
N(c1cc(c(C)cc1)Cl)C(=O)C,TOX22181,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0
c1(ccc(NC(C)=O)cc1Cl)C,TOX22181,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0
c1(C)ccc(NC(C)=O)cc1Cl,TOX22181,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0
CCCCNC(=O)NCCCC,TOX22188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C(C)CCNC(=O)NCCCC,TOX22188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C(C)CCNC(=O)NCCCC,TOX22188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N(C(NCCCC)=O)CCCC,TOX22188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCc1cccc(C)c1,TOX7876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cc1cc(CC)ccc1,TOX7876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c1c(cc(C)cc1)CC,TOX7876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c1c(C)cc(CC)cc1,TOX7876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(C)CCCCCCCOP(OCCCCCCCC(C)C)Oc1ccccc1,TOX7877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
C(CC(C)C)CCCCCOP(Oc1ccccc1)OCCCCCCCC(C)C,TOX7877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
C(CCCC(C)C)CCCOP(Oc1ccccc1)OCCCCCCCC(C)C,TOX7877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
C(CC(C)C)CCCCCOP(OCCCCCCCC(C)C)Oc1ccccc1,TOX7877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
CCCCCCCCCCC=CC1CC(=O)OC1=O,TOX7870,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CCCCCCCCCCC=CC1C(=O)OC(=O)C1,TOX7870,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
C(CCCCCCC)CCC=CC1C(=O)OC(=O)C1,TOX7870,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
O1C(=O)CC(C1=O)C=CCCCCCCCCCC,TOX7870,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CC(C)C(Nc1ccc(C(F)(F)F)cc1Cl)C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,TOX4110,0.0,0.0,,0.0,0.0,,,0.0,0.0,,1.0,
c1c(Oc2ccccc2)cccc1C(OC(C(Nc1ccc(cc1Cl)C(F)(F)F)C(C)C)=O)C#N,TOX4110,0.0,0.0,,0.0,0.0,,,0.0,0.0,,1.0,
CC(C)C(Nc1ccc(C(F)(F)F)cc1Cl)C(=O)OC(c1cccc(Oc2ccccc2)c1)C#N,TOX4110,0.0,0.0,,0.0,0.0,,,0.0,0.0,,1.0,
c1c(Cl)c(ccc1C(F)(F)F)NC(C(OC(c1cc(ccc1)Oc1ccccc1)C#N)=O)C(C)C,TOX4110,0.0,0.0,,0.0,0.0,,,0.0,0.0,,1.0,
CCOP(=S)(CC)Sc1ccccc1,TOX4113,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P(Sc1ccccc1)(=S)(OCC)CC,TOX4113,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c1cc(ccc1)SP(OCC)(CC)=S,TOX4113,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P(Sc1ccccc1)(CC)(OCC)=S,TOX4113,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC/C=C\CCCCO,TOX27698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C(/C=C\CCCCO)C,TOX27698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C(/C=C\CCCCO)C,TOX27698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C(CCO)C/C=C\CC,TOX27698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C=C[C@H]1CN2CCC1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,TOX27694,0.0,0.0,1.0,0.0,0.0,0.0,,,0.0,0.0,,
C1N2CCC(C[C@H]2[C@@H](c2ccnc3c2cc(OC)cc3)O)[C@H]1C=C,TOX27694,0.0,0.0,1.0,0.0,0.0,0.0,,,0.0,0.0,,
[C@H](O)([C@@H]1CC2CCN1C[C@@H]2C=C)c1ccnc2ccc(cc12)OC,TOX27694,0.0,0.0,1.0,0.0,0.0,0.0,,,0.0,0.0,,
COc1ccc2c(c1)c(ccn2)[C@@H](O)[C@@H]1CC2CCN1C[C@@H]2C=C,TOX27694,0.0,0.0,1.0,0.0,0.0,0.0,,,0.0,0.0,,
CC(=O)CCC(C)=O,TOX10138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C(CCC(C)=O)(C)=O,TOX10138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(CCC(C)=O)=O,TOX10138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(=O)CCC(C)=O,TOX10138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N#CCCNCCC#N,TOX21464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N(CCC#N)CCC#N,TOX21464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C(#N)CCNCCC#N,TOX21464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N#CCCNCCC#N,TOX21464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O=C(Nc1ccc2c(O)c(N=Nc3ccc(N=Nc4ccc(S(=O)(=O)[O-])cc4)cc3)c(S(=O)(=O)[O-])cc2c1)c1ccccc1,TOX21726,0.0,0.0,0.0,,,0.0,0.0,1.0,0.0,0.0,,0.0
c1(ccccc1)C(Nc1cc2cc(S(=O)(=O)[O-])c(N=Nc3ccc(cc3)N=Nc3ccc(cc3)S(=O)([O-])=O)c(O)c2cc1)=O,TOX21726,0.0,0.0,0.0,,,0.0,0.0,1.0,0.0,0.0,,0.0
S(c1ccc(N=Nc2ccc(N=Nc3c(cc4c(c3O)ccc(c4)NC(=O)c3ccccc3)S([O-])(=O)=O)cc2)cc1)([O-])(=O)=O,TOX21726,0.0,0.0,0.0,,,0.0,0.0,1.0,0.0,0.0,,0.0
c1(C(=O)Nc2ccc3c(c(c(S(=O)([O-])=O)cc3c2)N=Nc2ccc(cc2)N=Nc2ccc(cc2)S(=O)([O-])=O)O)ccccc1,TOX21726,0.0,0.0,0.0,,,0.0,0.0,1.0,0.0,0.0,,0.0
COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1,TOX24002,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0
NCCO/N=C(/c1ccc(cc1)C(F)(F)F)CCCCOC,TOX24002,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0
C(CCOC)C/C(=N\OCCN)c1ccc(cc1)C(F)(F)F,TOX24002,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0
O(/N=C(/c1ccc(cc1)C(F)(F)F)CCCCOC)CCN,TOX24002,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0
Cc1ccccc1CCO,TOX27071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OCCc1c(cccc1)C,TOX27071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c1cccc(c1CCO)C,TOX27071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c1c(c(C)ccc1)CCO,TOX27071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cc1nc(C)c(C)nc1C,TOX27070,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n1c(c(C)nc(C)c1C)C,TOX27070,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c1(C)nc(C)c(nc1C)C,TOX27070,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cc1nc(c(C)nc1C)C,TOX27070,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O=[N+]([O-])[O-].O=[N+]([O-])[O-].[Ca+2],TOX19719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[Ca+2].[N+](=O)([O-])[O-].[N+]([O-])([O-])=O,TOX19719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O=[N+]([O-])[O-].[Ca+2].[O-][N+]([O-])=O,TOX19719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[Ca+2].[N+](=O)([O-])[O-].[O-][N+](=O)[O-],TOX19719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nc1ccc(N)c([N+](=O)[O-])c1,TOX957,0.0,0.0,1.0,0.0,,0.0,0.0,1.0,0.0,0.0,1.0,
c1(cc(N)ccc1N)[N+]([O-])=O,TOX957,0.0,0.0,1.0,0.0,,0.0,0.0,1.0,0.0,0.0,1.0,
Nc1c([N+](=O)[O-])cc(N)cc1,TOX957,0.0,0.0,1.0,0.0,,0.0,0.0,1.0,0.0,0.0,1.0,
c1c(N)c([N+](=O)[O-])cc(c1)N,TOX957,0.0,0.0,1.0,0.0,,0.0,0.0,1.0,0.0,0.0,1.0,
CC1COc2ccccc2N1,TOX24915,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
c1cc2c(cc1)OCC(C)N2,TOX24915,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
c12c(cccc2)OCC(N1)C,TOX24915,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
C1C(C)Nc2c(O1)cccc2,TOX24915,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
O=C(O)c1cc(Cl)cc(Cl)c1O,TOX24914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
c1(Cl)c(O)c(cc(c1)Cl)C(O)=O,TOX24914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
Clc1cc(Cl)c(O)c(C(O)=O)c1,TOX24914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
Clc1c(O)c(C(=O)O)cc(c1)Cl,TOX24914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
CCCCCCCCCCCC(=O)NCCCN(C)C,TOX24913,0.0,,0.0,,,,,,0.0,,,
C(CCNC(CCCCCCCCCCC)=O)N(C)C,TOX24913,0.0,,0.0,,,,,,0.0,,,
C(CCCC(NCCCN(C)C)=O)CCCCCCC,TOX24913,0.0,,0.0,,,,,,0.0,,,
C(CCNC(=O)CCCCCCCCCCC)N(C)C,TOX24913,0.0,,0.0,,,,,,0.0,,,
O=[N+]([O-])c1cc([As](=O)(O)O)ccc1O,TOX956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c1(ccc(cc1[N+](=O)[O-])[As](O)(O)=O)O,TOX956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c1cc(O)c(cc1[As](O)(O)=O)[N+]([O-])=O,TOX956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O=[As](O)(c1ccc(c(c1)[N+]([O-])=O)O)O,TOX956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
